NAME,lat,lon,STATUS_YR,DESIG_ENG,AREA_KM2,annual_temp_c,annual_precip_mm,elevation_m
Upper Mississippi River Floodplain Wetland,43.16046693977616,-91.03579100009824,2010,"Ramsar Site, Wetland of International Importance",972.466305313337,8.070052106332241,26902.71000000029,324.0
Land Between the Lakes,36.84649068117979,-88.06856976283258,1991,UNESCO-MAB Biosphere Reserve,415.753671614282,14.558350260531686,36994.2500000003,163.0
Sand Lake National Wildlife Refuge,45.77263266458903,-98.25259303345078,1998,"Ramsar Site, Wetland of International Importance",99.0166893603449,6.472101033295081,18692.340000000106,392.0
Quivira National Wildlife Refuge,38.15665475314783,-98.50169632554322,2002,"Ramsar Site, Wetland of International Importance",88.5497734320056,13.362960346197944,21432.16000000012,535.0
Okefenokee National Wildlife Refuge,30.782111069858267,-82.29858801520088,1986,"Ramsar Site, Wetland of International Importance",1472.71303807291,19.732403073390454,32085.57999999988,36.0
Cache-Lower White Rivers,34.346528649009635,-91.1771607868922,1989,"Ramsar Site, Wetland of International Importance",1404.84139992651,17.251929700609413,38229.59999999992,55.0
Three Sisters,44.03937359750965,-121.90707995654972,1976,UNESCO-MAB Biosphere Reserve,1098.74575612154,4.364806146780888,39974.09999999996,1610.0
Cache River-Cypress Creek Wetlands,37.24318979170516,-89.15896772462767,1994,"Ramsar Site, Wetland of International Importance",89.5378527718993,14.388854543848804,35924.88000000034,123.0
Delaware Bay Estuary,39.233455098288886,-75.25127505291255,1992,"Ramsar Site, Wetland of International Importance",1146.26500252585,13.272215843857644,32896.57999999984,0.0
Congaree National Park,33.79664796485406,-80.77284012996499,2012,"Ramsar Site, Wetland of International Importance",88.4456927166627,17.686514174688746,33690.48000000025,49.0
Yellowstone,44.59843970415067,-110.54761926886084,1976,UNESCO-MAB Biosphere Reserve,8828.12540090494,0.209078866024905,25230.99,2463.0
Organ Pipe Cactus,32.04464905669661,-112.85792886163053,1976,UNESCO-MAB Biosphere Reserve,1321.05272073388,21.86260708292851,5789.580000000001,518.0
Waterton Glacier International Peace,48.67814448043742,-113.78985590735032,1976,UNESCO-MAB Biosphere Reserve,4382.46380805698,1.541623244723134,26653.320000000072,1749.0
Olympic,47.79468708928303,-123.65975368775926,1976,UNESCO-MAB Biosphere Reserve,3687.36678833833,-0.2570696811798984,79962.32000000034,1896.0
Red Cloud Peak,37.96489704645147,-107.39602977830393,1993,Wilderness Study Area,154.248651282724,-2.3585180605846534,30804.810000000023,3691.0
Shawnee,38.71264141101352,-83.20435073748611,0,State Forest,261.245788723086,12.058032323589083,35026.43000000031,297.0
